Name;Address;Location;Price;Cuisine;Longitude;Latitude;PhoneNumber;Url;WebsiteUrl;Award;GreenStar;FacilitiesAndServices;Description
Chiemgauhof;Julius-Exter-Promenade 21, Übersee, 83236, Germany;Übersee, Germany;€€€;Farm to table, Regional Cuisine;12.4757464;47.8468221;4,98642E+12;https://guide.michelin.com/en/bayern/ubersee_1280400/restaurant/chiemgauhof;https://www.chiemgauhof.com/de/chiemgauhof-restaurant.html;Selected Restaurants;0;Air conditioning,Car park,Great view,Terrace,Wheelchair access;The restaurant of the exclusive Chiemgau Lakeside Retreat, an offshoot of the nearby Resort Das Achental in Grassau, draws you in with its enticing lakeside location – right by Chiemsee. In fine weather, the lake view is best from the terrace, but, thanks to the floor-to-ceiling windows, you won't be deprived even if you dine inside. The decor in the dining rooms, which can be separated off by means of a glass partition, is an attractive blend of traditional regional elements such as warm wood and a stylish classic tiled stove and modern sleek lines. This combination is also reflected in the cuisine, which sees regional influences given a modern makeover.
Chefs Atelier;Im Löwental 60A, Essen, 45239, Germany;Essen, Germany;€€€€;Creative, Seasonal Cuisine;6.9957349;51.3836464;4,92016E+12;https://guide.michelin.com/en/nordrhein-westfalen/essen/restaurant/chefs-atelier;https://www.chefsatelier.de;1 Star;0;Car park;"A staircase leads down to this restaurant sporting a modern look. The first appetisers are served in the lounge as an aperitif, before a maximum of 18 guests are seated at their tables in a relaxed atmosphere. The open kitchen means interesting glimpses of the action there as well as interactions with the chefs. Under the direction of Alexander Hoppe, they cook up a creative, seasonally inspired six-course menu – delicate bites are served to whet the appetite; delicious petits fours round off the meal. Well-rounded flavours and a beautiful sense of balance are achieved, for example, in the excellent hamachi prepared in two ways: glazed slices and a tender, spicy tartare, accompanied by fine strips of kohlrabi, yuzu gel as a successful contrast, and subtly sour buttermilk and aromatic oil from daikon sprouts as a sauce. Equally fantastic is the rack of lamb from Quercy with artichoke and vadouvan jus. Very well chosen wine pairings accompany the menu. The waitstaff are friendly and knowledgeable – the kitchen team partakes in serving the food and the chef is on hand to explain the dishes."
FZN by Björn Frantzén;Atlantis The Palm Jumeirah, Crescent Road, Dubai;Dubai;$$$$;Modern Cuisine;55.1182319;25.1320377;9,71501E+11;https://guide.michelin.com/en/dubai-emirate/dubai/restaurant/fzn-by-bjorn-frantzen;https://www.restaurantfzn.com/;3 Stars;0;Air conditioning,Car park,Counter dining,Interesting wine list,Valet parking,Wheelchair access;"With a simple ring of a doorbell, you are transported to an elevated dining experience set in what looks like someone’s home. It starts in the Scandi-inspired sitting room for canapes and aperitifs; then, dinner takes place around an impressive open kitchen, where you are greeted by the chefs before service begins. An array of dishes showcases the blend of Asian and Scandinavian influences that make great use of the finest luxury ingredients, such as shellfish from the Norwegian Sea and turbot from Brittany. The team’s craft and precision present a superb balance of flavour and texture seen across all the plates."
Boury;Rumbeeksesteenweg 300, Roeselare, 8800, Belgium;Roeselare, Belgium;€€€€;Creative French;3.1403981;50.9374466;3251626462;https://guide.michelin.com/en/west-vlaanderen/roeselare/restaurant/boury;https://www.restaurantboury.be/;3 Stars;0;Air conditioning,Car park,Garden or park,Interesting wine list;In their brick villa, Tim Boury and Inge Waeles have clearly puzzled, pondered and finetuned each detail from the attentive service and felicitous food-wine pairings to the fashionably stylish interior and the gorgeous patio and bar. The buzzy casual vibe is ample proof that perfection is not necessarily starched and stuffy. Chef Boury’s painstaking recipes mingle classicism with creative peps and he cannot be equalled for his ability to enhance exceptional ingredients, particularly those from his region whose praises he frequently sings. His cuisine attains a pinnacle of high-flying virtuosity, whether by the complexity of flavours and textures or by a prodigious sauce that hits the spot every time. Light years from showy gimmicks, the focus is on authenticity and confidently allowing each ingredient to shout its name. Take for example his high-flying dish of mouthwatering calf’s sweetbread sautéed in a beurre noisette, then in a casserole dish, flanked by crunchy croutons, a syrupy red wine reduction subtly perfumed with girolles and other mushrooms and black truffle marinated in madeira wine. Rich unctuous flavours steeped in refinement, consummate culinary mastery, a wealth of amusing nods and a naturally generous personality are all combined in a unique and truly marvellous dining experience.
Zilte;Hanzestedenplaats 5, Antwerpen, 2000, Belgium;Antwerpen, Belgium;€€€€;Creative;4.4047543;51.228828;3232834040;https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/t-zilte;https://www.zilte.be/;3 Stars;0;Air conditioning,Great view,Interesting wine list,Wheelchair access;Zilte strives to offer a global emotional experience, starting with the view of the city skyline from the top floor of the Museum aan de Stroom. The understated designer interior is elegant and cosy, offset by the chef’s old record player which adds a nostalgic jazzy note. Everything is spot on from the gracious welcome and the wine waiter’s savvy tips to the sweet treats served with coffee. Viki Geunes has stripped his restaurant of everything but the essentials, starting with outstanding quality ingredients as he harnesses his creative flair to make each dish a masterpiece of excellence. For example, Geunes may add a tempura of sea urchin, thinly sliced hearts of palm, cream of celery and an unusual mandarin-flavoured miso to immaculately cooked langoustine. He may then also craft a second dish with the same ingredients, surprising us with a whole new repertory of textures. This fastidiously meticulous chef delicately plays with each texture and flavour, conjuring up food that is complex and gutsy, yet free of fussy frills. Now add sauces to die for and exotic side dishes with a surprising, yet mild spicy note and the portrait of Viki Geunes’ consummate skill and talent is complete.
HAJIME;1-9-11 Edobori, Nishi-ku, Osaka, 550-0002, Japan;Osaka, Japan;¥¥¥¥;Innovative;135.496084;34.688612;81664476688;https://guide.michelin.com/en/osaka-region/osaka/restaurant/hajime;https://www.hajime-artistes.com/;3 Stars;0;Air conditioning,Wheelchair access;An artwork resembling a planet dominates the dining room. Look closely and the ‘planet’ contains overlapping images of cuisine, which gather together to form a picture of the Earth. ‘Dialogue with the Earth’ is, indeed, the theme of this restaurant. The experience of growing up amid the beauty of nature shaped the bold world view of Hajime Yoneda. The digitised recipes and detailed cuisine attest to his experience as a system engineer. Cuisine that draws inspiration from all Creation is imbued with love and respect for nature.
Taian;1-21-2 Shimanochi, Chuo-ku, Osaka, 542-0082, Japan;Osaka, Japan;¥¥¥;Japanese;135.507205;34.673353;81661200790;https://guide.michelin.com/en/osaka-region/osaka/restaurant/taian;;3 Stars;0;Air conditioning,Counter dining;‘Taian’ means ‘big hut’, and indeed this little place has a huge spirit. Recalling the apparent paradox of the tea ceremony, in which a small, spare space is made to feel boundless, the cosy and clean décor is exceptional in its modesty. The cuisine crystallises the skill and passion of Hitoshi Takahata, while the contrast between outward appearance and inner content is a reflection of his philosophy. Cuisine with depths of flavour satisfies the soul.
Mizai;613 Maruyamacho, Higashiyama-ku, Kyoto, 605-0071, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.782364;35.002993;81755513310;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/mizai;https://mizai.jp/;3 Stars;0;Air conditioning,Cash only,Counter dining,Notable sake list;"The ambience is still, like a mountain retreat in the heart of the city. The flicker of votive lanterns casts a tenor of rustic simplicity. While he worked to polish his cooking skills, Hitoshi Ishihara also encountered Zen teachings. Inspired by the wabicha spirit of the tea ceremony, Ishihara strives to host each dinner as a single gathering, with guests and host in close communication. Generous portions reinforce the mood of celebration. ‘Mizai’ is a Zen word meaning ‘not yet here’; for Ishihara, tireless self-improvement is a never-ending journey."
Gion Sasaki;566-27 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.775049;34.998881;81755515000;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/gion-sasaki;https://gionsasaki.com/;3 Stars;0;Air conditioning,Counter dining,Shoes must be removed;In a teacher-and-student quest, Hiroshi Sasaki and his understudies vie to create the greatest flavours. Combining Sasaki’s wealth of experience with the youthful sensitivity of his disciples, the restaurant builds a menu that surprises and delights, suffusing classic Japanese cuisine with fresh technique and imagination. The counter becomes a theatre that brings cooks and diners together, each playing their parts. The performances of ‘Sasaki Kitchen Theatre’, fun for eyes and tastebuds, have a presence that keeps the house packed night after night.
Isshisoden Nakamura;136 Matsushitacho, Nakagyo-ku, Kyoto, 604-8093, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.765083;35.010397;81752215511;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/isshisoden-nakamura;;3 Stars;0;Air conditioning,Shoes must be removed;The house began life as a travelling fishmonger, carrying fish from Wakasa Bay to scattered markets, then gradually transitioned into a restaurant. The sixth-generation head, Motokazu Nakamura, took over the reins having been the only one entrusted with the craft he learned at his father’s side. For the white miso zoni, he only uses water drawn from a well on the premises to dissolve the miso. Sake-grilled tilefish is doused in sake multiple times, piling flavour on top of flavour. The chef tends the kitchen with his son, who trained abroad, passing skills and spirit from one generation to the next.
